id,policy_type,question_type,question,answer,context,condition,q_rating,a_rating
22502,Financial Incentive,Yes/No,"If a public school in New Hampshire wants to install a renewable heating system, can it apply for a rebate under the Commercial & Industrial Bulk Fuel-Fed Wood Pellet Central Heating Systems Rebate Program?",Yes,"An incentive up to this maximum amount should be attractive for businesses of various sizes, schools and other municipal buildings, health care and higher educational facilities, and other non-profit institutions and organizations.  The initial budgeted amount of $\$629,140$ for State fiscal year 2014 should be sufficient to fund incentives for at least 12 projects under this program, even if all applicants propose projects eligible for the maximum incentive amount.  We find that the recommended maximum rebate amount is reasonable and appropriate. ",,9,9
22502,Financial Incentive,Yes/No,Can an industrial manufacturer located in New Hampshire apply for the rebate to offset heating system costs using this program?,Yes,"ORDERED, that Commission administration of an incentive program using renewable energy funds to support the purchase and installation by non-residential property owners of bulk fuel-fed wood pellet central heating systems in New Hampshire, as more particularly described in this Order and in the attached Step 1 application form, is hereby APPROVED.",,9,10
22502,Financial Incentive,Yes/No cond,Can a school district receive additional incentive funds for including thermal storage in its wood pellet heating system installation?,Yes,"2.  An additional incentive equal to $30\%$ of the costs of purchase and installation of a thermal storage tank and related components, up to a maximum amount of $\$5,000$ , should be available to eligible project applicants.","[""The rebate is equal to 30% of thermal storage equipment cost"", ""It is capped at $5,000""]",9,9
22502,Financial Incentive,Yes/No cond,Can a state agency install a dual-fuel system and still qualify for the rebate?,Yes,"5.  Eligible projects should be the primary but not necessarily the exclusive source of heat for the building. Multiple staged boilers or furnaces may be included in an eligible heating system to provide greater output flexibility, but the entire system would only be eligible for a single incentive payment. Dual-fuel boilers or furnaces capable of burning wood chips or other woody biomass in addition to wood pellets would be eligible for the program if the applicant certifies that the fuel used will be wood pellets.","[""The applicant must certify that wood pellets will be used as the fuel""]",9,9
22502,Financial Incentive,Factual,What is the minimum wood pellet storage requirement to qualify for the Commercial & Industrial Bulk Fuel-Fed Wood Pellet Central Heating Systems Rebate Program?,Three tons,"ligible heating systems must not exceed 2.5 million BTUs in capacity. The system must include wood pellet storage of not less than three tons, and automatic conveyance of the pellet fuel from the storage container to the burn chamber. The heating appliance must turn itself on in response to a demand for heat, modulate to lower output when the heating load decreases, and turn itself off when the heating load is satisfied.",,9,10
22502,Financial Incentive,Factual,What is the maximum rebate amount available under the Commercial & Industrial Bulk Fuel-Fed Wood Pellet Central Heating Systems Rebate Program?,"30% of the total cost of the purchase and installation cost, up to $50,000.","Staff recommended that the Commission approve an incentive program with the following key parameters:

1.  The incentive amount would be $30\%$ of the total costs of the purchase and installation of eligible non-residential bulk-fuel fed wood pellet central heating systems, up to a maximum incentive amount of $\$50,000$ .",,9,9
22502,Financial Incentive,Legal Obligation,What certification must a New Hampshire local government provide if applying to the Commercial & Industrial Bulk Fuel-Fed Wood Pellet Central Heating Systems Rebate Program using a dual-fuel boiler?,They must certify that wood pellets will be used as the fuel source.,"5.  Eligible projects should be the primary but not necessarily the exclusive source of heat for the building. Multiple staged boilers or furnaces may be included in an eligible heating system to provide greater output flexibility, but the entire system would only be eligible for a single incentive payment. Dual-fuel boilers or furnaces capable of burning wood chips or other woody biomass in addition to wood pellets would be eligible for the program if the applicant certifies that the fuel used will be wood pellets.",,8,9
22502,Financial Incentive,Legal Obligation,What automation features must be included in wood pellet heating systems under the New Hampshire rebate program for commercial and industrial buildings?,"The system must automatically feed fuel, modulate output based on heat demand, and shut off when heating is not needed.","3.  Eligible heating systems must not exceed 2.5 million BTUs in capacity. The system must include wood pellet storage of not less than three tons, and automatic conveyance of the pellet fuel from the storage container to the burn chamber. The heating appliance must turn itself on in response to a demand for heat, modulate to lower output when the heating load decreases, and turn itself off when the heating load is satisfied.",,8,9
22502,Financial Incentive,Descriptive,Why should public schools in New Hampshire consider applying for the Commercial & Industrial Bulk Fuel-Fed Wood Pellet Central Heating Systems Rebate Program?,"Schools can receive up to $50,000 in rebates to help offset the cost of clean heating systems, improve air quality, and reduce energy costs over time.","Staff recommends an incentive in the amount of $30\%$ of total heating system purchase and installation costs up to a maximum of $\$50,000$ , noting that this level of incentive would be maximized for a project with a total cost of $\$167,000$ and a capacity sufficient to serve as the primary heating source for an approximately 50,000 square foot building. An incentive up to this maximum amount should be attractive for businesses of various sizes, schools and other municipal buildings, health care and higher educational facilities, and other non-profit institutions and organizations",,9,9
22502,Financial Incentive,Descriptive,What flexibility does a nonprofit daycare center in New Hampshire have when applying for the Commercial & Industrial Bulk Fuel-Fed Wood Pellet Central Heating Systems Rebate Program if it is also using other funding sources?,"The nonprofit is allowed to combine this rebate with RECs, tax credits, or other available incentives. There are no restrictions on stacking incentives","7.  System Eligibility for RECs and Other Incentives. Commenters addressed whether it should be permissible for an eligible heating system project owner receiving a rebate under the program to obtain electric RECs and other available incentives, such as investment or performance tax credits. The consensus of commenters was that there should be no restriction on obtaining a rebate under the program in addition to RECs, tax credits, or any other available incentives available for heating system purchase, installation or operation.",,8,9
22293,Financial Incentive,Yes/No,I am a contractor preparing a scope of work for a new building that includes solar PV and HVAC upgrades. Does the C-PACE program allow financing for both solar and energy efficiency improvements in the same project?,Yes,"This scope can range from installation of a single Energy Improvement, such as a new high efficiency boiler or a renewable energy system, to a whole building energy upgrade involving multiple, interactive Energy Improvements.",,9,10
22293,Financial Incentive,Yes/No,I work for a local government in a participating municipality and want to apply for C-PACE financing for a city-owned library. Can a municipal property be considered a qualifying property under C-PACE?,No,"B. Must be owned by a Benefited Property Owner, who is not a state, municipality, or any political subdivision thereof.   ",,10,10
22293,Financial Incentive,Yes/No cond,I’m a contractor looking to help a client bundle solar PV installation with HVAC upgrades under C-PACE. Can these different improvements be financed together in a single C-PACE application?,Yes,"Additionally, subsequent Energy Improvement(s) made to a Qualifying Property which has previously received C-PACE financing for a previous Qualifying Project, made within one calendar year from the close of C-PACE financing for the initial Qualifying Project, may be considered as one Qualifying Project for the purposes herein.  ","[""All improvements must be part of one qualifying project and submitted together or within a calendar year.""]",9,9
22293,Financial Incentive,Yes/No cond,I manage an industrial facility and want to apply C-PACE financing to a geothermal heating installation. Is geothermal eligible under C-PACE?,Yes,"(E) installation of a solar thermal or geothermal system to service qualifying commercial real property, or (F) installation of refueling infrastructure for zero-emission vehicles to a Qualifying Commercial Real Property, or (G) installation of resilience improvements to a Qualifying Commercial Real Property, provided such renovation, retrofit or installation described in subparagraph (C) to (G), inclusive, is permanently fixed to such Qualifying Commercial Real Property. In an event of a conflict between this definition and that which is ascribed in the C-PACE Legislation, the C-PACE Legislation shall govern.","[""The geothermal system is installed on qualifying commercial real property and is permanently affixed to the site.""]",9,10
22293,Financial Incentive,Factual,I'm an industrial property developer budgeting a C-PACE financing package. What is the default maximum financing term allowed under C-PACE?,25 years,"The term of the Benefit Assessment may not exceed 25 years unless approved by Green Bank, in its sole discretion.",,9,9
22293,Financial Incentive,Factual,I’m an energy auditor preparing technical documentation for a qualifying energy retrofit. What energy audit standard must be followed for C-PACE project energy savings estimates?,"ASHRAE Level I, II, or III","Energy Improvement & Energy Savings: ASHRAE Level I, Level II and Level III Energy Audit Guidelines.",,9,10
22293,Financial Incentive,Legal Obligation,I'm a C-PACE participant who owns a commercial building with an existing mortgage. What documentation must I provide to proceed with C-PACE financing?,Written consent from the existing mortgage holder,Obtain the written consent to the C-PACE financing from any existing mortgage holder of the Qualifying Property.,,9,9
22293,Financial Incentive,Legal Obligation,I’m a contractor completing a solar PV installation under a C-PACE agreement. What must be included to verify the system was installed properly?,A commissioning plan,"# Section 4. Commissioning; Measurement and Verification  

To verify that the project was installed according to the evaluated scope, projects are required to include a commissioning plan. A commissioning plan by a Qualified Contractor, Registered Contractor, Technical Reviewer, the Technical Administrator, or Green Bank can confirm the measures were properly installed and that the project is operating as intended.  ",,9,10
22293,Financial Incentive,Descriptive,I work in industrial development and want to explain why clients should consider C-PACE. What makes C-PACE financing less risky and more attractive than traditional loans?,"It uses a senior benefit assessment lien with non-acceleration, transfers with property ownership, and is repaid through property tax bills.","The repayment obligation transfers automatically to the next owner if the property is sold and in the event of default, only the payments in arrears come due. This arrangement spreads the cost of eligible  improvements – such as energy efficient boilers, upgraded insulation, new windows, solar photovoltaic (PV) installations, resilience improvements, or electric vehicle (EV) chargers – over the expected life of the measure. Because the payment is secured by a senior lien, C-PACE projects are seen as less risky than typical financing.  ",,8,9
22293,Financial Incentive,Descriptive,I’m an installer helping clients decide between C-PACE or traditional loans. What are the advantages of C-PACE for contractors and project developers?,"It allows up to 100% long-term financing, supports deeper retrofits, and includes contractor training and support services from Green Bank.","C-PACE solves this by allowing a property owner to access up to $100\%$ financing for up to 25 years, affording deeper energy efficiency, clean energy, and resilience improvements. The Green Bank also provides energy auditors, contractors and developers access to training, support services, market research, and marketing materials.",,10,10
22435_2,Regulatory Policy,Yes/No,I work for a Maryland county government evaluating solar subscriptions for low-income housing. Does Maryland law require that a portion of community solar capacity serve low- to moderate-income (LMI) customers under Community Solar Energy Generation System Pilot Program ?,Yes,"(ix) with respect to community solar energy generating systems constructed under the Program, serves at least $40\%$ of its kilowatt-hour output to LMI subscribers unless the solar energy system is wholly owned by the subscribers to the solar energy system.",,10,10
22435_2,Regulatory Policy,Yes/No,I represent a Maryland-based nonprofit that leases land for solar arrays and wants to own a community solar facility. Can nonprofits act as subscriber organizations under Maryland’s community solar law according to Community Solar Energy Generation System Pilot Program?,Yes,"(15) “Subscriber organization” means:   
(i) a person that owns or operates a community solar energy generating system; or  

(ii) the collective group of subscribers of a community solar energy generating system.  ",,8,9
22435_2,Regulatory Policy,Yes/No cond,I work with a Maryland public school that wants to host a solar array shared across several schools in the district. Can a public school act as a host site for a community solar system under Maryland law according to Community Solar Energy Generation System Pilot Program?,Yes,"(4) “Community solar energy generating system” means a solar energy system that:  

(i) is connected to the electric distribution grid serving the State;  

(ii) is located in the same electric service territory as its subscribers;  

(iii) is attached to the electric meter of a subscriber or is a separate facility with its own electric meter;  

(iv) credits its generated electricity, or the value of its generated electricity, to the bills of the subscribers to that system through virtual net energy metering;  

(v) has at least two subscribers but no limit to the maximum number of subscribers;  

(vi) does not have subscriptions larger than 200 kilowatts constituting more than $60\%$ of its kilowatt-hour output;  

(vii) has a generating capacity that does not exceed 5 megawatts as measured by the alternating current rating of the system's inverter;  ","[""The system is under 5 megawatts.""]",9,9
22435_2,Regulatory Policy,Yes/No cond,I work for a state agency that wants to develop two community solar systems at adjacent government-owned parking lots. Can these co-located systems exceed Maryland’s 5 MW limit according to Community Solar Energy Generation System Pilot Program?,Yes,"9. in any location if the combined capacity of all community solar energy generating systems on the same or adjacent parcel does not exceed 10 megawatts and:  

A. at least $75\%$ of the aggregate capacity of the co-located community solar energy generating systems serves LMI subscribers;  ","[""The combined capacity does not exceed 10 megawatts, and at least 75% serves LMI subscribers.""]",9,9
22435_2,Regulatory Policy,Factual,"As a Maryland-based agricultural business, I want to apply for a community solar exemption based on dual-use farming. What term does Maryland use to describe the dual use of solar and agriculture on the same site under Community Solar Energy Generation System Pilot Program?",Agrivoltaics,"(2) “Agrivoltaics” means the simultaneous use of areas of land for both solar power generation   
and: (i) raising grains, fruits, herbs, melons, mushrooms, nuts, seeds, tobacco, or vegetables; (ii) raising poultry, including chickens and turkeys, for meat or egg production; (iii) dairy production, such as the raising of milking cows; (iv) raising livestock, including cattle, sheep, goats, or pigs; (v) horse boarding, breeding, or training; (vi) turf farming; (vii) raising ornamental shrubs, plants, or flowers, including aquatic plants; (viii) aquaculture; (ix) silviculture; or (x) any other activity recognized by the Department of Agriculture as an agricultural activity. ",,9,9
22435_2,Regulatory Policy,Factual,I am advising a federal agency subscribed to a Maryland Community Solar Energy Generation System Pilot Program. What billing model does Maryland law define for electric companies handling solar and utility charges?,Consolidated billing,"(5) “Consolidated billing” means a payment mechanism that requires an electric company to, at the request of a subscriber organization or subscription coordinator:  

(i) include the monthly subscription charge of a subscriber organization or subscription coordinator on the monthly bills rendered by the electric company for electric service and supply to subscribers; and  

(ii) remit payment for those charges to the subscriber organization or subscription coordinator.  ",,9,9
22435_2,Regulatory Policy,Legal Obligation,I represent a state-funded project installing community solar over 1 megawatt in Maryland. What labor compliance must be followed during construction under Maryland law under Community Solar Energy Generation System Pilot Program?,Prevailing wage or a project labor agreement is required.,"(n) The developer of a community solar energy generating system with a generating capacity over 1   
megawatt, as measured in alternating current, shall ensure that workers are paid not less than the   
prevailing wage rate determined under Title 17, Subtitle 2 of the State Finance and Procurement   
Article, unless the community solar energy generating system is subject to a project labor agreement   
that: (1) binds all contractors and subcontractors on the community solar energy generating system   
through the inclusion of specifications in all relevant solicitation provisions and contract documents; (2) allows all contractors and subcontractors to compete for contracts and subcontracts on the   
project without regard to whether they are otherwise parties to collective bargaining agreements; (3) establishes uniform terms and conditions of employment for all construction labor employed on the projects; (4) guarantees against strikes, lockouts, and similar job disruptions; (5) establishes mutually binding procedures for resolving labor disputes; and (6) includes any other provisions negotiated by the parties to promote successful delivery of the community solar energy generating system.  ",,9,9
22435_2,Regulatory Policy,Legal Obligation,We operate a community solar project on state-leased agricultural land. What environmental obligations must we meet during construction under Community Solar Energy Generation System Pilot Program?,We must comply with the Forest Conservation Act and other relevant State and local environmental laws.,"(19) In constructing or operating a community solar energy generating system, a person shall address critical area, climate resilience, and forest conservation concerns by complying with the Forest Conservation Act and other relevant State and local environmental laws and regulations pertaining to the critical area, climate resilience, and forest conservation.  ",,9,10
22435_2,Regulatory Policy,Descriptive,I manage a solar land lease program in Maryland and need to brief my agricultural clients. What kinds of agricultural uses are protected under Maryland’s definition of agrivoltaics according to Community Solar Energy Generation System Pilot Program?,"Activities include raising grains, fruits, herbs, vegetables, flowers, dairy, poultry, livestock, and aquaculture.","(2) “Agrivoltaics” means the simultaneous use of areas of land for both solar power generation   
and: (i) raising grains, fruits, herbs, melons, mushrooms, nuts, seeds, tobacco, or vegetables; (ii) raising poultry, including chickens and turkeys, for meat or egg production; (iii) dairy production, such as the raising of milking cows; (iv) raising livestock, including cattle, sheep, goats, or pigs; (v) horse boarding, breeding, or training; (vi) turf farming; (vii) raising ornamental shrubs, plants, or flowers, including aquatic plants; (viii) aquaculture; (ix) silviculture; or (x) any other activity recognized by the Department of Agriculture as an agricultural activity. ",,9,9
22435_2,Regulatory Policy,Descriptive,I advise schools and nonprofits on LMI subscriber qualification in Maryland’s Community Solar Energy Generation System Pilot Program. How does Maryland law permit verification of LMI subscriber eligibility?,"By self-attestation, proof of public assistance, tax documents, pay stubs, or PSC-approved methods.","(iv) allow a subscriber organization or subscription coordinator to verify the income of a prospective subscriber for eligibility as an LMI subscriber under the Program by using one of the following methods:   
1. self-attestation by the prospective subscriber that does not need to be under oath or penalty of perjury;   
2. requiring the prospective subscriber to provide evidence of eligibility for or enrollment in at least one of the following government assistance programs: A. the Maryland Energy Assistance Program;   
B. the Supplemental Nutrition Assistance Program;   
C. Medicaid;   
D. Head Start;   
E. free and reduced price school meals;   
F. the federal Low Income Home Energy Assistance Program;   
G. EmPOWER Maryland low- or moderate-income incentives;   
H. telephone lifeline service;   
I. the Fuel Fund of Maryland; or J. any additional federal, State, or local assistance program that the Commission determines will further the purposes of the Program;  

3. pay stubs;  

4. income tax documents;  

5. proof of residence in an affordable housing facility;  

6. proof of residence within a census tract that is:  

A. an overburdened community; and B. an underserved community;  

7. any verification method that was available under the pilot program; or   
8. any additional methods approved by the Commission to verify income;  
",,10,9
